ID,Under_Grad_School,Under_Grad_Major,US_Ranking,211,985,Gender,State,City
34,NanjingU,NA,NA,TRUE,TRUE,2,Zhejiang,Hangzhou
35,HDU,NA,NA,FALSE,FALSE,2,NA,NA
36,WuhanU,Math,NA,TRUE,TRUE,1,Macau,Datang District
37,UF,NA,35,TRUE,TRUE,1,Jiangsu,Wuxi
38,USTC,NA,NA,TRUE,TRUE,2,Guangdong,Zhuhai
39,NA,Math,NA,NA,NA,1,NA,NA
40,ZJU,NA,NA,TRUE,TRUE,1,NewYork,NewYork
41,NA,NA,NA,NA,NA,1,Zhejiang,Taizhou
42,UCB,NA,22,NA,NA,1,California,Berkeley
43,NA,NA,NA,NA,NA,1,Beijing,Chaoyang
44,UCD,NA,38,NA,NA,1,NewYork,NewYork
45,UCSC,NA,70,NA,NA,2,Shanghai,Songjiang
46,UWM,NA,49,NA,NA,2,Zhejiang,Shaoxing
47,NA,NA,NA,NA,NA,0,NA,NA
48,ECNU,NA,NA,TRUE,TRUE,0,NA,NA
